category,indicator,indicator_friendly,type_data,latitude,longitude,region_id,country_id,name,year,value
Population,rural_population,Rural population,1000,50.5,4,89,BE,Belgium,2000,294
Population,rural_population,Rural population,1000,50.5,4,89,BE,Belgium,2005,283
Population,rural_population,Rural population,1000,50.5,4,89,BE,Belgium,2007,278
Population,rural_population,Rural population,1000,50.5,4,89,BE,Belgium,2010,270
Population,rural_population,Rural population,1000,50.5,4,89,BE,Belgium,2015,257
Population,rural_population,Rural population,1000,50.5,4,89,BE,Belgium,2020,244
Population,rural_population,Rural population,1000,50.5,4,89,BE,Belgium,2025,231
Population,rural_population,Rural population,1000,50.5,4,89,BE,Belgium,2030,218
Population,rural_population,Rural population,1000,50.5,4,89,BE,Belgium,2035,206
Population,rural_population,Rural population,1000,50.5,4,89,BE,Belgium,2040,193
Population,rural_population,Rural population,1000,50.5,4,89,BE,Belgium,2045,181
Streets,total_length_road,Total length of road network (km),n,50.5,4,89,BE,Belgium,2009,153872
Streets,proportion_land_allocated_to_street_sub_urban_area,Proportion of land allocated to street – suburban area,p,50.833317,4.333317,89,BE,Brussels,2013,13.8
Streets,proportion_land_allocated_to_street_city_core,Proportion of land allocated to street – city core,p,50.833317,4.333317,89,BE,Brussels,2013,25.1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,1985,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,1955,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,2020,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,1990,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,1960,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,2025,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,1995,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,1965,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,2000,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,1970,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,2005,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,1975,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,2010,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,1980,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,1950,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,50.5,4,89,BE,Belgium,2015,1
Streets,land_allocated_to_street_index_sub_urban_area,Land Allocated to Street Index – suburban area,index,50.833317,4.333317,89,BE,Brussels,2013,0.44
City prosperity,cpi_quality_of_live_index,Quality of life index,p,50.833317,4.333317,89,BE,Brussels,2012,0.864
City prosperity,cpi_quality_of_live_index,Quality of life index,p,50.833317,4.333317,89,BE,Brussels,2013,0.864
Health,hiv_prevalence_15_to_49_year,HIV prevalence among population 15-49 year,p,50.5,4,89,BE,Belgium,2001,0.15
Health,hiv_prevalence_15_to_49_year,HIV prevalence among population 15-49 year,p,50.5,4,89,BE,Belgium,2003,0.2
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,50.5,4,89,BE,Belgium,1990,8.5
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,50.5,4,89,BE,Belgium,1960,30.1
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,50.5,4,89,BE,Belgium,1995,6.5
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,50.5,4,89,BE,Belgium,2000,4.6
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,50.5,4,89,BE,Belgium,1970,20.2
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,50.5,4,89,BE,Belgium,2005,3.9
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,50.5,4,89,BE,Belgium,2007,3.7
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,50.5,4,89,BE,Belgium,1980,12
City prosperity,cpi_composite_street_connectivity_index,Composite Street Connectivity Index,index,50.833317,4.333317,89,BE,Brussels,2013,0.749
Streets,total_road_network,Total road network (in km),n,50.5,4,89,BE,Belgium,2000,150567
Resilience,refugees_by_country_of_origin,Number of refugees by country of origin,n,50.5,4,89,BE,Belgium,2005,95
