Year,Country / territory of asylum/residence,Origin,RSD procedure type / level,Total persons pending start-year,of which UNHCR-assisted,Applied during year,statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,Otherwise closed,Total decisions,Total persons pending end-year,of which UNHCR-assisted
2005,Italy,Iran (Islamic Rep. of),G / FA,0,0,65,41,23,12,0,76,0,0
2005,Italy,Iraq,G / FA,0,0,118,22,49,71,0,142,0,0
2005,Italy,Jordan,G / FA,0,0,1,0,0,0,0,,0,0
2005,Italy,Kyrgyzstan,G / FA,0,0,1,0,0,0,0,,0,0
2005,Italy,Lebanon,G / FA,0,0,4,0,0,0,0,,0,0
2005,Italy,Liberia,G / FA,0,0,259,18,111,649,0,778,0,0
2005,Italy,Libya,G / FA,0,0,6,0,0,0,0,,0,0
2005,Italy,Sri Lanka,G / FA,0,0,27,6,28,15,0,49,0,0
2005,Italy,Morocco,G / FA,0,0,94,0,0,0,0,,0,0
2005,Italy,Rep. of Moldova,G / FA,0,0,63,5,11,42,0,58,0,0
2005,Italy,Mexico,G / FA,0,0,1,0,0,0,0,,0,0
2005,Italy,The former Yugoslav Republic of Macedonia,G / FA,0,0,91,4,9,40,0,53,0,0
2005,Italy,Mali,G / FA,0,0,0,0,2,48,0,50,0,0
2005,Italy,Niger,G / FA,0,0,63,0,0,0,0,,0,0
2005,Italy,Nigeria,G / FA,0,0,536,31,72,517,0,620,0,0
2005,Italy,Pakistan,G / FA,0,0,411,11,47,336,0,394,0,0
2005,Italy,Palestinian,G / FA,0,0,139,7,15,129,0,151,0,0
2005,Italy,Romania,G / FA,0,0,345,0,17,193,0,210,0,0
2005,Italy,Russian Federation,G / FA,0,0,36,3,9,30,0,42,0,0
2005,Italy,Rwanda,G / FA,0,0,3,0,0,0,0,,0,0
2005,Italy,Sudan,G / FA,0,0,637,46,493,259,0,798,0,0
2005,Italy,Senegal,G / FA,0,0,13,1,2,8,0,11,0,0
2005,Italy,Sierra L
